internal_accession,external_accession,is_brainarray
bovgene10st,GPL16500,y
bovgene10st,GPL21176,y
bovgene10st,GPL21098,y
bovgene11st,GPL20768,y
bovine,GPL2112,y
bovine,GPL10186,y
bovine,GPL13706,y
bovine,GPL18534,y
bovine,GPL10941,y
bovine,A-AFFY-128,y
cangene10st,GPL17403,y
cangene10st,GPL19674,y
cangene11st,GPL23567,y
canine2,GPL3738,y
canine2,A-AFFY-149,y
canine,GPL3979,y
canine,A-AFFY-148,y
celegans,GPL200,y
celegans,GPL18687,y
celegans,GPL13993,y
celegans,GPL13995,y
celegans,GPL19846,y
celegans,A-AFFY-60,y
chicken,GPL3213,y
chicken,GPL10234,y
chicken,A-AFFY-103,y
chigene10st,GPL19014,y
chigene10st,GPL18368,y
chigene10st,GPL18366,y
chigene11st,GPL21385,y
clariomdhuman,GPL23126,y
clariomdhuman,GPL24539,y
clariomdhuman,A-GEOD-22844,y
clariomshumanht,GPL24324,y
clariomshuman,GPL23159,y
clariomsmouse,GPL23038,y
clariomsmouse,GPL24242,y
clariomsrat,GPL23040,y
drogene10st,GPL20842,y
drogene10st,GPL18094,y
drogene11st,GPL17506,y
drogene11st,GPL20767,y
drosgenome1,GPL72,y
drosgenome1,A-AFFY-17,y
drosophila2,GPL1322,y
drosophila2,GPL1447,y
drosophila2,GPL13770,y
drosophila2,GPL24241,y
drosophila2,GPL18767,y
drosophila2,GPL11026,y
drosophila2,GPL11025,y
drosophila2,GPL14667,y
drosophila2,GPL11027,y
drosophila2,A-AFFY-35,y
elegene10st,GPL19230,y
elegene11st,GPL19291,y
equgene10st,GPL18123,y
equgene11st,GPL20334,y
hgu133a2,GPL571,y
hgu133a2,GPL14604,y
hgu133a2,GPL9188,y
hgu133a2,GPL22932,y
hgu133a2,GPL8414,y
hgu133a2,GPL5356,y
hgu133a2,GPL17486,y
hgu133a2,GPL23080,y
hgu133a2,GPL18991,y
hgu133a2,GPL18034,y
hgu133a2,GPL18880,y
hgu133a2,GPL13447,y
hgu133a2,GPL7763,y
hgu133a2,GPL5705,y
hgu133a2,GPL18478,y
hgu133a2,GPL18033,y
hgu133a,GPL96,y
hgu133a,GPL4557,y
hgu133a,GPL17027,y
hgu133a,GPL19184,y
hgu133a,GPL14663,y
hgu133a,GPL24120,y
hgu133a,GPL9741,y
hgu133a,GPL17180,y
hgu133a,GPL8289,y
hgu133a,GPL10553,y
hgu133a,GPL9021,y
hgu133a,GPL17662,y
hgu133a,GPL16212,y
hgu133a,A-AFFY-33,y
hgu133a,A-MEXP-2334,y
hgu133b,GPL97,y
hgu133b,GPL9742,y
hgu133b,GPL19180,y
hgu133b,GPL15396,y
hgu133b,GPL9197,y
hgu133b,A-AFFY-34,y
hgu133plus2,GPL570,y
hgu133plus2,GPL15308,y
hgu133plus2,GPL16311,y
hgu133plus2,GPL13916,y
