probe_id	ensembl_id
ILMN_1212648	ENSMUSG00000046862
ILMN_1212649	ENSMUSG00000038039
ILMN_1213028	ENSMUSG00000034031
ILMN_1213030	ENSMUSG00000024948
ILMN_1213275	ENSMUSG00000096764
ILMN_1213535	ENSMUSG00000025453
ILMN_1213779	ENSMUSG00000024773
ILMN_1213858	ENSMUSG00000028549
ILMN_1214917	ENSMUSG00000059336
ILMN_1215265	ENSMUSG00000018379
ILMN_1215400	ENSMUSG00000024824
ILMN_1215822	ENSMUSG00000047150
ILMN_1216117	ENSMUSG00000040021
ILMN_1216212	ENSMUSG00000067261
ILMN_1216238	ENSMUSG00000110333
ILMN_1217272	ENSMUSG00000022295
ILMN_1217552	ENSMUSG00000022361
ILMN_1218612	ENSMUSG00000057130
ILMN_1219025	ENSMUSG00000040606
ILMN_1219074	ENSMUSG00000072620
ILMN_1219136	ENSMUSG00000050732
ILMN_1219210	ENSMUSG00000024947
ILMN_1219740	ENSMUSG00000073002
ILMN_1219817	ENSMUSG00000064043
ILMN_1220374	ENSMUSG00000058706
ILMN_1220498	ENSMUSG00000032648
ILMN_1221266	ENSMUSG00000005506
ILMN_1222206	ENSMUSG00000000204
ILMN_1222559	ENSMUSG00000025478
ILMN_1222860	ENSMUSG00000078780
ILMN_1222870	ENSMUSG00000022296
ILMN_1222879	ENSMUSG00000062393
ILMN_1223230	ENSMUSG00000060803
ILMN_1223414	ENSMUSG00000026064
ILMN_1223937	ENSMUSG00000028580
ILMN_1224076	ENSMUSG00000083012
ILMN_1224495	ENSMUSG00000025665
ILMN_1224584	ENSMUSG00000071068
ILMN_1224778	ENSMUSG00000078941
ILMN_1224883	ENSMUSG00000037434
ILMN_1225073	ENSMUSG00000054196
ILMN_1226133	ENSMUSG00000022718
ILMN_1226135	ENSMUSG00000006471
ILMN_1226157	ENSMUSG00000028698
ILMN_1226703	ENSMUSG00000006471
ILMN_1226968	ENSMUSG00000025453
ILMN_1227126	ENSMUSG00000093803
ILMN_1227495	ENSMUSG00000024174
ILMN_1227663	ENSMUSG00000050931
ILMN_1227770	ENSMUSG00000064043
ILMN_1227900	ENSMUSG00000000791
ILMN_1228049	ENSMUSG00000027596
ILMN_1228213	ENSMUSG00000031838
ILMN_1228264	ENSMUSG00000069041
ILMN_1228277	ENSMUSG00000079593
ILMN_1228352	ENSMUSG00000056305
ILMN_1229238	ENSMUSG00000027282
ILMN_1229454	ENSMUSG00000018378
ILMN_1229939	ENSMUSG00000043939
ILMN_1229971	ENSMUSG00000018377
ILMN_1230843	ENSMUSG00000025757
