probe_id	ensembl_id
ILMN_1343289	ENSG00000170889
ILMN_1651268	ENSG00000165714
ILMN_1651298	ENSG00000152942
ILMN_1651404	ENSG00000244482
ILMN_1651415	ENSG00000099958
ILMN_1651430	ENSG00000168928
ILMN_1651535	ENSG00000172738
ILMN_1651554	ENSG00000143248
ILMN_1651588	ENSG00000205864
ILMN_1651787	ENSG00000204410
ILMN_1651843	ENSG00000168802
ILMN_1651916	ENSG00000197822
ILMN_1652027	ENSG00000204681
ILMN_1652366	ENSG00000167634
ILMN_1652392	ENSG00000197410
ILMN_1652439	ENSG00000212901
ILMN_1652490	ENSG00000111261
ILMN_1652521	ENSG00000104643
ILMN_1652602	ENSG00000185522
ILMN_1652642	ENSG00000148296
ILMN_1652766	ENSG00000118412
ILMN_1652989	ENSG00000030066
ILMN_1653115	ENSG00000104823
ILMN_1653174	ENSG00000111846
ILMN_1653278	ENSG00000176945
ILMN_1653447	ENSG00000204538
ILMN_1653591	ENSG00000204614
ILMN_1653646	ENSG00000138629
ILMN_1653652	ENSG00000081237
ILMN_1653687	ENSG00000182870
ILMN_1654063	ENSG00000157423
ILMN_1654156	ENSG00000168807
ILMN_1654165	ENSG00000164175
ILMN_1654411	ENSG00000275385
ILMN_1654465	ENSG00000105220
ILMN_1654497	ENSG00000138138
ILMN_1654541	ENSG00000213760
ILMN_1654545	ENSG00000071894
ILMN_1654566	ENSG00000204390
ILMN_1654586	ENSG00000185989
ILMN_1654628	ENSG00000257103
ILMN_1654689	ENSG00000186448
ILMN_1654890	ENSG00000167615
ILMN_1654899	ENSG00000226023
ILMN_1655114	ENSG00000159842
ILMN_1655167	ENSG00000196653
ILMN_1655330	ENSG00000164871
ILMN_1655348	ENSG00000183671
ILMN_1655482	ENSG00000204713
ILMN_1655553	ENSG00000205884
ILMN_1655563	ENSG00000134030
ILMN_1655651	ENSG00000111846
ILMN_1655664	ENSG00000077044
ILMN_1655675	ENSG00000204520
ILMN_1655684	ENSG00000104835
ILMN_1655710	ENSG00000118181
ILMN_1655788	ENSG00000197782
ILMN_1655876	ENSG00000011638
ILMN_1656225	ENSG00000188716
ILMN_1656404	ENSG00000198169
ILMN_1656540	ENSG00000175792
ILMN_1656670	ENSG00000204632
ILMN_1656979	ENSG00000175164
ILMN_1656992	ENSG00000182261
ILMN_1657040	ENSG00000183638
ILMN_1657045	ENSG00000159842
ILMN_1657064	ENSG00000130023
ILMN_1657235	ENSG00000187867
ILMN_1657421	ENSG00000108953
ILMN_1657455	ENSG00000105352
ILMN_1657857	ENSG00000111843
ILMN_1657891	ENSG00000173273
ILMN_1657901	ENSG00000196350
ILMN_1657932	ENSG00000184956
ILMN_1657962	ENSG00000188581
ILMN_1658094	ENSG00000138311
ILMN_1658158	ENSG00000186446
ILMN_1658271	ENSG00000160285
ILMN_1658413	ENSG00000157423
ILMN_1658563	ENSG00000204889
ILMN_1658632	ENSG00000167634
ILMN_1658684	ENSG00000166377
ILMN_1658685	ENSG00000243902
ILMN_1658807	ENSG00000103415
ILMN_1658965	ENSG00000204681
ILMN_1659058	ENSG00000204569
ILMN_1659075	ENSG00000204252
ILMN_1659095	ENSG00000148303
ILMN_1659104	ENSG00000091073
ILMN_1659197	ENSG00000113231
ILMN_1659777	ENSG00000176783
ILMN_1659782	ENSG00000204344
ILMN_1659845	ENSG00000166398
ILMN_1659894	ENSG00000144741
ILMN_1659959	ENSG00000256150
ILMN_1659980	ENSG00000226807
ILMN_1660067	ENSG00000212724
ILMN_1660086	ENSG00000133392
ILMN_1660108	ENSG00000215356
ILMN_1660144	ENSG00000100207
ILMN_1660232	ENSG00000139197
ILMN_1660323	ENSG00000179889
ILMN_1660356	ENSG00000119698
ILMN_1660436	ENSG00000204388
ILMN_1660501	ENSG00000176956
ILMN_1660547	ENSG00000082805
ILMN_1660669	ENSG00000261247
ILMN_1660723	ENSG00000160439
ILMN_1660880	ENSG00000023191
ILMN_1660895	ENSG00000157423
ILMN_1660970	ENSG00000151388
ILMN_1661266	ENSG00000179344
ILMN_1661351	ENSG00000170291
ILMN_1661439	ENSG00000137312
ILMN_1661490	ENSG00000204220
ILMN_1661581	ENSG00000165949
ILMN_1661631
ILMN_1661653	ENSG00000140543
ILMN_1661703	ENSG00000152254
ILMN_1662086	ENSG00000048545
ILMN_1662091	ENSG00000226807
ILMN_1662334	ENSG00000103423
ILMN_1662427	ENSG00000184489
ILMN_1662458	ENSG00000184983
ILMN_1662481	ENSG00000126550
ILMN_1662497	ENSG00000212900
ILMN_1662590	ENSG00000160323
ILMN_1662629	ENSG00000164871
ILMN_1662675	ENSG00000104755
ILMN_1662799	ENSG00000213654
ILMN_1662800	ENSG00000175699
ILMN_1663124	ENSG00000148123
ILMN_1663145	ENSG00000103226
ILMN_1663303	ENSG00000166922
ILMN_1663407	ENSG00000148290
ILMN_1663561	ENSG00000275410
ILMN_1663569	ENSG00000160282
ILMN_1663578	ENSG00000204889
ILMN_1663580	ENSG00000130226
ILMN_1663777	ENSG00000117020
ILMN_1664016
ILMN_1664118	ENSG00000175161
ILMN_1664235	ENSG00000121380
ILMN_1664265	ENSG00000146904
ILMN_1664276	ENSG00000122145
ILMN_1664610	ENSG00000182774
ILMN_1664679	ENSG00000175161
ILMN_1664723	ENSG00000185803
ILMN_1664894	ENSG00000022556
ILMN_1665147	ENSG00000212721
ILMN_1665311
ILMN_1665356	ENSG00000130592
ILMN_1665365	ENSG00000280987
ILMN_1665428	ENSG00000104518
ILMN_1665583	ENSG00000196230
ILMN_1665621	ENSG00000185122
ILMN_1665632	ENSG00000204531
ILMN_1665838	ENSG00000085491
ILMN_1665943	ENSG00000104814
ILMN_1665996	ENSG00000110987
ILMN_1666111	ENSG00000083896
ILMN_1666173	ENSG00000100207
ILMN_1666399	ENSG00000204227
ILMN_1666512	ENSG00000204351
ILMN_1666546	ENSG00000276023
ILMN_1666632	ENSG00000223501
ILMN_1666732	ENSG00000226979
ILMN_1666775	ENSG00000151067
ILMN_1666776	ENSG00000075043
ILMN_1666781	ENSG00000163633
ILMN_1666949	ENSG00000142319
ILMN_1667060	ENSG00000185122
ILMN_1667229	ENSG00000228789
ILMN_1667295	ENSG00000168140
ILMN_1667449	ENSG00000174500
ILMN_1667641	ENSG00000278540
ILMN_1667839	ENSG00000012963
ILMN_1668000	ENSG00000123444
ILMN_1668247	ENSG00000213316
ILMN_1668249	ENSG00000103227
ILMN_1668277	ENSG00000136573
ILMN_1668285	ENSG00000107282
ILMN_1668291	ENSG00000128000
ILMN_1668460	ENSG00000196415
ILMN_1668910	ENSG00000136305
ILMN_1669119	ENSG00000188581
ILMN_1669281	ENSG00000188603
ILMN_1669352	ENSG00000204421
ILMN_1669363	ENSG00000163810
ILMN_1669410	ENSG00000100604
ILMN_1669610	ENSG00000132016
ILMN_1669745	ENSG00000197275
ILMN_1669819	ENSG00000185467
ILMN_1670343	ENSG00000151276
ILMN_1670809	ENSG00000137404
ILMN_1670878	ENSG00000083896
ILMN_1671054	ENSG00000206503
ILMN_1671320	ENSG00000129559
ILMN_1671536	ENSG00000236104
ILMN_1671557	ENSG00000181649
ILMN_1671791	ENSG00000100889
ILMN_1672331	ENSG00000055208
ILMN_1672474	ENSG00000223443
ILMN_1672478	ENSG00000182330
ILMN_1672554	ENSG00000170291
ILMN_1672596	ENSG00000050820
ILMN_1672878	ENSG00000159842
ILMN_1672969	ENSG00000114529
ILMN_1673111	ENSG00000170892
ILMN_1673376	ENSG00000141556
ILMN_1673609	ENSG00000129009
ILMN_1673620	ENSG00000162849
ILMN_1673649	ENSG00000149428
ILMN_1673753	ENSG00000204574
ILMN_1673815	ENSG00000198826
ILMN_1673980	ENSG00000262484
ILMN_1673987	ENSG00000205882
ILMN_1674051	ENSG00000204536
ILMN_1674152	ENSG00000104825
ILMN_1674337	ENSG00000173486
ILMN_1674354	ENSG00000088038
ILMN_1674519	ENSG00000103310
ILMN_1674533	ENSG00000165125
ILMN_1674563	ENSG00000275302
ILMN_1674646	ENSG00000185507
ILMN_1674899	ENSG00000099958
ILMN_1675097	ENSG00000270379
ILMN_1675541	ENSG00000114942
ILMN_1675669	ENSG00000005700
ILMN_1675762	ENSG00000138311
ILMN_1676014	ENSG00000225766
ILMN_1676146	ENSG00000214518
ILMN_1676177	ENSG00000128313
ILMN_1676342	ENSG00000137449
ILMN_1676689	ENSG00000221988
ILMN_1677138
ILMN_1677318	ENSG00000165406
ILMN_1677326	ENSG00000157423
ILMN_1677429	ENSG00000233608
ILMN_1677452	ENSG00000148300
ILMN_1677637	ENSG00000161267
ILMN_1677893	ENSG00000129467
ILMN_1677919	ENSG00000100938
ILMN_1678080	ENSG00000173486
ILMN_1678235	ENSG00000120071
ILMN_1678312	ENSG00000228696
ILMN_1678678	ENSG00000137700
ILMN_1678707	ENSG00000270647
ILMN_1678730	ENSG00000103512
ILMN_1678841	ENSG00000213886
ILMN_1679196	ENSG00000226777
ILMN_1679238	ENSG00000105617
ILMN_1679371	ENSG00000185122
ILMN_1679378	ENSG00000104824
ILMN_1679391	ENSG00000165072
ILMN_1679476	ENSG00000159131
ILMN_1679580	ENSG00000185774
ILMN_1679646	ENSG00000160282
ILMN_1679859	ENSG00000221957
ILMN_1679867	ENSG00000185122
ILMN_1679929	ENSG00000169926
ILMN_1680070	ENSG00000184956
ILMN_1680192	ENSG00000128383
ILMN_1680353	ENSG00000073969
ILMN_1680390	ENSG00000111846
ILMN_1680682	ENSG00000276234
ILMN_1680687	ENSG00000073969
ILMN_1680712	ENSG00000164520
ILMN_1680993	ENSG00000204613
ILMN_1680996	ENSG00000012779
ILMN_1681136	ENSG00000140481
ILMN_1681457	ENSG00000181693
ILMN_1681558	ENSG00000221852
ILMN_1682021	ENSG00000170099
ILMN_1682319	ENSG00000126549
ILMN_1682323	ENSG00000185163
ILMN_1682339	ENSG00000132016
ILMN_1682414	ENSG00000073969
ILMN_1682490	ENSG00000278619
